Source,ChatGPT,Google Translate,Bashaverse,Reference
"Hello, how are you?","नमस्ते, आप कैसे हैं?","हेलो, आप कैसे हैं?","नमस्ते, क्या हाल है?","नमस्ते, आप कैसे हैं?"
"Welcome to the world.","உலகிற்கு வரவேற்கிறோம்.","உலகத்துக்கு வருக.","உலகத்திற்கு நல்வரவு.","உலகிற்கு வரவேற்கிறோம்."
"Good morning, friend.","శుభోదయం మిత్రమా.","హలో మిత్రమా, శుభోదయం.","శుభోదయం స్నేహితుడా.","శుభోదయం మిత్రమా."
"Thank you very much.","ತುಂಬಾ ಧನ್ಯವಾದಗಳು.","ನಿಮಗೆ ಧನ್ಯವಾದಗಳು.","ಅನೇಕ ಧನ್ಯವಾದಗಳು.","ತುಂಬಾ ಧನ್ಯವಾದಗಳು."
"How much is this?","(Bengali) এটা কত?","(Bengali) এটার দাম কত?","(Bengali) কত টাকা?","(Bengali) এটা কত?"
"Where is the station?","(Marathi) स्टेशन कुठे आहे?","(Marathi) स्थानक कुठे आहे?","(Marathi) स्टेशन किधर है?","(Marathi) स्टेशन कुठे आहे?"
"I love reading books.","(Gujarati) મને પુસ્તકો વાંચવાનું ગમે છે.","(Gujarati) હું પુસ્તકો વાંચવા પ્રેમ કરું છું.","(Gujarati) મને વાંચન ગમે છે.","(Gujarati) મને પુસ્તકો વાંચવાનું ગમે છે."
"What is your name?","(Malayalam) നിങ്ങളുടെ പേര് എന്താണ്?","(Malayalam) പേര് എന്താ?","(Malayalam) നിന്റെ പേരെന്താണ്?","(Malayalam) നിങ്ങളുടെ പേര് എന്താണ്?"
"Come here quickly.","(Punjabi) ਛੇਤੀ ਇੱਥੇ ਆਓ.","(Punjabi) ਜਲਦੀ ਆਓ.","(Punjabi) ਇੱਥੇ ਆ ਜਾਓ.","(Punjabi) ਛੇਤੀ ਇੱਥੇ ਆਓ."
"The food is tasty.","(Odia) ଖାଦ୍ୟ ସ୍ୱାଦିଷ୍ଟ ଅଟେ.","(Odia) ଖାଇବା ବହୁତ ଭଲ.","(Odia) ଖାଦ୍ୟ ଭଲ ଅଛି.","(Odia) ଖାଦ୍ୟ ସ୍ୱାଦିଷ୍ଟ ଅଟେ."
"It is raining heavily.","(Assamese) বৰষুণ দি আছে.","(Assamese) খুব বৰষুণ হৈছে.","(Assamese) বৰষুণ পৰি আছে.","(Assamese) খুব বৰষুণ হৈছে."
"See you tomorrow.","(Urdu) کل ملتے ہیں.","(Urdu) کل ملاقات ہوگی.","(Urdu) پھر ملیں گے.","(Urdu) کل ملتے ہیں."
"Truth alone triumphs.","(Sanskrit) सत्यमेव जयते.","(Sanskrit) सत्यं जयति.","(Sanskrit) सत्यमेव जयते नानृतम्.","(Sanskrit) सत्यमेव जयते."
